IdCategoría,IdProducto,NombreProducto,Stock,PrecioUnidad,Medida,Contador,LongHoja,DenominaciónCompleta
PPA,083,BLANCO AMARILLENTO,"93,32000732",2850.0,P,119.0,"0,699999988",PPA 083 BLANCO AMARILLENTO P
PPA,084,FRENCH BEIGE,"92,33999634",2850.0,P,120.0,"0,699999988",PPA 084 FRENCH BEIGE P
PPA,085, AZUL ELECTRICO,"96,66999817",2850.0,P,121.0,"0,699999988",PPA 085  AZUL ELECTRICO P
PPA,087,BLANCO ANTIGUO,"94,33999634",2850.0,P,122.0,"0,699999988",PPA 087 BLANCO ANTIGUO P
PPA,088,PORCELANA,"93,83000183",2850.0,P,123.0,"0,699999988",PPA 088 PORCELANA P
PPA,089,AMARILLO SKIN,"90,44999695",2850.0,P,124.0,"0,699999988",PPA 089 AMARILLO SKIN P
PPA,090,CREMA AMARILLA,"95,01000214",2850.0,P,125.0,"0,699999988",PPA 090 CREMA AMARILLA P
PPA,091,TIZA,"85,02000427",2850.0,P,126.0,"0,699999988",PPA 091 TIZA P
PPA,092,NATURAL,"88,33999634",2850.0,P,127.0,"0,699999988",PPA 092 NATURAL P
PPA,093,CREMA ROSA CLARO,"91,37000275",2850.0,P,128.0,"0,699999988",PPA 093 CREMA ROSA CLARO P
PPA,094,TIZA ROSA CLARO,"6,010000229",2850.0,P,129.0,"0,699999988",PPA 094 TIZA ROSA CLARO P
PPA,095=104,BLANCO,"212,8000336",2850.0,P,130.0,"0,699999988",PPA 095=104 BLANCO P
PPA,096,MADERA CLARO,"87,01999664",2850.0,P,131.0,"0,699999988",PPA 096 MADERA CLARO P
PPA,097,NEGRO BRILLANTE,0,2850.0,P,132.0,"0,699999988",PPA 097 NEGRO BRILLANTE P
PPA,098,ANTIQUE,"78,69000244",2850.0,P,133.0,"0,699999988",PPA 098 ANTIQUE P
PPA,099,MANTECA,"80,04999542",2850.0,P,134.0,"0,699999988",PPA 099 MANTECA P
PPA,100,MANTECA,"95,33999634",2850.0,P,135.0,"0,699999988",PPA 100 MANTECA P
JR,23,BOMBE 2CM. VERDE INGLES MATE,"5,17000103",168.6541,L,138.0,,JR 23 BOMBE 2CM. VERDE INGLES MATE L
JR,175,BATEA 2CM PAT COMB 14,"7,800000191",131.6537,L,142.0,,JR 175 BATEA 2CM PAT COMB 14 L
PPE,046,ELYSEE,"26,84998703",309.6015,P,230.0,"0,699999988",PPE 046 ELYSEE P
PPE,004,AZUL MARINO,"95,66000366",309.6015,P,231.0,"0,699999988",PPE 004 AZUL MARINO P
PPE,105,NOCHE,"-0,670000017",402.4821,P,232.0,"0,75",PPE 105 NOCHE P
PPE,107,PERSIA,"-0,330000013",402.4821,P,233.0,"0,75",PPE 107 PERSIA P
PPE,106,AGUAMARINA,"-5,980000019",402.4821,P,234.0,"0,75",PPE 106 AGUAMARINA P
PPE,030,BORDO,"97,98999786",309.6015,P,235.0,"0,699999988",PPE 030 BORDO P
PPE,023,NEGRO,100,309.6015,P,236.0,"0,699999988",PPE 023 NEGRO P
PPE,047,SILVESTRE,"88,3500061",391.0,P,237.0,"0,699999988",PPE 047 SILVESTRE P
PPE,048,COBALTO,"67,24996948",309.6015,P,238.0,"0,699999988",PPE 048 COBALTO P
PPE,194 M,BURGUNDY,0,2167.2128,P,239.0,"0,800000012",PPE 194 M BURGUNDY P
PPE,102 M,RIVERBANK,"-1,330000043",2167.2128,P,240.0,"0,800000012",PPE 102 M RIVERBANK P
PPE,113 M,CAVALIER BLUE,"-1,330000043",2167.2128,P,241.0,"0,800000012",PPE 113 M CAVALIER BLUE P
PPE,117 M,BLACK,"-2,660000086",2167.2128,P,242.0,"0,800000012",PPE 117 M BLACK P
PPE,165 M,JESTER GREEN,0,2167.2128,P,243.0,"0,800000012",PPE 165 M JESTER GREEN P
PPE,155 M,DRAGONWYCK,0,2167.2128,P,244.0,"0,800000012",PPE 155 M DRAGONWYCK P
PPE,9 B,WHITE,"-3,339999914",2167.2128,P,245.0,"1,549999952",PPE 9 B WHITE P
PPE,115 B,QUEEN IVORY,"-2,670000076",2167.2128,P,246.0,"1,549999952",PPE 115 B QUEEN IVORY P
PPE,191 B,HONEY,"-7,319999695",2167.2128,P,247.0,"1,549999952",PPE 191 B HONEY P
PPE,165 B,JESTER GREEN,"-4,319999695",2167.2128,P,248.0,"1,549999952",PPE 165 B JESTER GREEN P
PPE,155 B,DRAGONWYCK,-1,2167.2128,P,249.0,"1,549999952",PPE 155 B DRAGONWYCK P
PPE,194 B,BURGUNDY,"-4,659999847",2167.2128,P,250.0,"1,549999952",PPE 194 B BURGUNDY P
PPE,113 B,CAVALIER BLUE,"-3,659999847",2167.2128,P,251.0,"1,549999952",PPE 113 B CAVALIER BLUE P
PPE,117 B,BLACK,-1,2167.2128,P,252.0,"1,549999952",PPE 117 B BLACK P
PPE,191 S,HONEY,-4,1145.5256,P,253.0,"0,75",PPE 191 S HONEY P
PPE,165 S,JESTER GREEN,-15,1145.5256,P,254.0,"0,75",PPE 165 S JESTER GREEN P
PPE,155 S,DRAGONWYCK,"-4,010000229",1145.5256,P,255.0,"0,75",PPE 155 S DRAGONWYCK P
PPE,194 S,BURGUNDY,"-4,670000076",1145.5256,P,256.0,"0,75",PPE 194 S BURGUNDY P
PPE,113 S,CAVALIER BLUE,"-1,99000001",1145.5256,P,257.0,"0,75",PPE 113 S CAVALIER BLUE P
PPE,117 S,BLACK,"-1,669999957",1145.5256,P,258.0,"0,75",PPE 117 S BLACK P
CHA,0,CHAPADUR,"257,5802612",5225.0,S,260.0,0,CHA 0 CHAPADUR S
FG,001,PATINA PASSE PARTOUT,"-3,5",530.6282,S,262.0,0,FG 001 PATINA PASSE PARTOUT S
MOL,1036-5,"ART 1036-5 4,5 CM","0,370000005",25.9024,L,266.0,0,"MOL 1036-5 ART 1036-5 4,5 CM L"
MOL,2005,MOLDURA GRABADA 4 CM EN PASTA,"1,709999919",76.1836,L,268.0,0,MOL 2005 MOLDURA GRABADA 4 CM EN PASTA L
